time;NETWORK__BUS____7-BUS___10-2_AC_iSide2;HVDC_hvdc_P1Pu;
0.000000;1375.696050;12.010000;
10.000000;1375.509939;12.015651;
20.000000;1375.392272;12.019224;
30.000000;1375.317878;12.021483;
30.000000;1684.022988;12.021483;
40.000000;1525.585330;13.651949;
50.000000;1459.429324;14.333633;
60.000000;0.000000;14.618676;
60.000000;0.000000;14.618676;
70.000000;0.000000;16.631109;
80.000000;0.000000;17.362535;
90.000000;0.000000;17.628673;
100.000000;0.000000;17.725341;
110.000000;0.000000;17.760449;
120.000000;0.000000;17.773199;
130.000000;0.000000;17.777830;
140.000000;0.000000;17.779511;
150.000000;0.000000;17.780120;
160.000000;0.000000;17.780343;
170.000000;0.000000;17.780424;
180.000000;0.000000;17.780453;
190.000000;0.000000;17.780464;
200.000000;0.000000;17.780468;
210.000000;0.000000;17.780470;
220.000000;0.000000;17.780470;
230.000000;0.000000;17.780470;
240.000000;0.000000;17.780470;
250.000000;0.000000;17.780470;
260.000000;0.000000;17.780470;
270.000000;0.000000;17.780470;
280.000000;0.000000;17.780470;
290.000000;0.000000;17.780470;
300.000000;0.000000;17.780470;
