time;Generator_generator_UPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_PGenPu;Generator_generator_QGenPu;NETWORK_Load_P;NETWORK_Load_Q;NETWORK_Transformer_i1_value;NETWORK_Transformer_i2_value;NETWORK_Transformer_P1_value;NETWORK_Transformer_P2_value;NETWORK_Transformer_Q1_value;NETWORK_Transformer_Q2_value;NETWORK_Transformer_iS1ToS2Side1_value;NETWORK_Transformer_iS2ToS1Side1_value;NETWORK_Transformer_iS1ToS2Side2_value;NETWORK_Transformer_iS2ToS1Side2_value;NETWORK_Transformer_iSide1_value;NETWORK_Transformer_iSide2_value;NETWORK_VL1_BUS1_U;NETWORK_VL1_BUS1_phi;NETWORK_VL2_BUS1_U;NETWORK_VL2_BUS1_phi;
0.0000000000;0.9999925350;9.0849099832;1.5087830019;0.0908490998;0.0150878300;0.0900000000;0.0100000000;0.0920932581;0.0920941267;-0.0900000002;0.0908490998;-0.0100000000;0.0150878300;-5317.0067326770;5317.0067326770;-5317.0568865786;5317.0568865786;5317.0067326770;-5317.0568865786;0.9832842649;-3.0922649044;0.9999925350;-0.0024054318;
0.1000000000;1.0000121084;9.0849065930;1.5087623795;0.0908490659;0.0150876238;0.0900000000;0.0100000000;0.0920913882;0.0920922569;-0.0900000007;0.0908490659;-0.0100000004;0.0150876238;-5316.8987785457;5316.8987785457;-5316.9489334657;5316.9489334657;5316.8987785457;5316.9489334657;0.9833042353;-3.0974541001;1.0000121084;-0.0077179616;
0.2000000000;1.0000110106;9.0849068291;1.5087635121;0.0908490683;0.0150876351;0.0900000000;0.0100000000;0.0920914935;0.0920923622;-0.0900000011;0.0908490683;-0.0100000001;0.0150876351;-5316.9048573566;5316.9048573566;-5316.9550122197;5316.9550122197;5316.9048573566;5316.9550122197;0.9833031153;-3.1037463622;1.0000110106;-0.0140032891;
0.3000000000;1.0000062588;9.0849077548;1.5087685398;0.0908490775;0.0150876854;0.0900000000;0.0100000000;0.0920919485;0.0920928172;-0.0900000020;0.0908490775;-0.0100000001;0.0150876854;-5316.9311249773;5316.9311249773;-5316.9812795931;5316.9812795931;5316.9311249773;5316.9812795931;0.9832982670;-3.1122070124;1.0000062588;-0.0224339634;
0.4000000000;1.0000014928;9.0849087246;1.5087735991;0.0908490872;0.0150877360;0.0900000000;0.0100000000;0.0920924053;0.0920932740;-0.0900000033;0.0908490872;-0.0100000002;0.0150877360;-5316.9574969563;5316.9574969563;-5317.0076513241;5317.0076513241;5316.9574969563;5317.0076513241;0.9832934040;-3.1230997443;1.0000014928;-0.0332966148;
0.5000000000;0.9999973907;9.0849096154;1.5087779685;0.0908490962;0.0150877797;0.0900000000;0.0100000000;0.0920927990;0.0920936677;-0.0900000049;0.0908490962;-0.0100000004;0.0150877797;-5316.9802287373;5316.9802287373;-5317.0303828917;5317.0303828917;5316.9802287373;5317.0303828917;0.9832892182;-3.1364892291;0.9999973907;-0.0466601901;
0.6000000000;0.9999940071;9.0849104156;1.5087815883;0.0908491042;0.0150878159;0.0900000000;0.0100000000;0.0920931244;0.0920939931;-0.0900000069;0.0908491042;-0.0100000006;0.0150878159;-5316.9990179218;5316.9990179218;-5317.0491719000;5317.0491719000;5316.9990179218;5317.0491719000;0.9832857655;-3.1523879374;0.9999940071;-0.0625375042;
0.7000000000;0.9999912809;9.0849111351;1.5087845223;0.0908491114;0.0150878452;0.0900000000;0.0100000000;0.0920933874;0.0920942561;-0.0900000093;0.0908491114;-0.0100000009;0.0150878452;-5317.0142007038;5317.0142007038;-5317.0643545401;5317.0643545401;5317.0142007038;5317.0643545401;0.9832829835;-3.1707934196;0.9999912809;-0.0809257233;
0.8000000000;0.9999891384;9.0849117862;1.5087868480;0.0908491179;0.0150878685;0.0900000000;0.0100000000;0.0920935950;0.0920944636;-0.0900000120;0.0908491179;-0.0100000012;0.0150878685;-5317.0261838718;5317.0261838718;-5317.0763375966;5317.0763375966;5317.0261838718;5317.0763375966;0.9832807969;-3.1916984032;0.9999891384;-0.1018171100;
0.9000000000;0.9999875102;9.0849123805;1.5087886382;0.0908491238;0.0150878864;0.0900000000;0.0100000000;0.0920937537;0.0920946224;-0.0900000150;0.0908491238;-0.0100000015;0.0150878864;-5317.0353487548;5317.0353487548;-5317.0855023948;5317.0855023948;5317.0353487548;5317.0855023948;0.9832791351;-3.2150937789;0.9999875102;-0.1252021192;
1.0000000000;0.9999863333;9.0849129287;1.5087899595;0.0908491293;0.0150878996;0.0900000000;0.0100000000;0.0920938697;0.0920947383;-0.0900000184;0.0908491293;-0.0100000019;0.0150878996;-5317.0420440743;5317.0420440743;-5317.0921976529;5317.0921976529;5317.0420440743;5317.0921976529;0.9832779335;-3.2409695767;0.9999863333;-0.1510703824;
