           (-1.64754e-16,0)            (-4.00589e-16,0)             (5.33062e-05,0)         (0.703425,0.283141)        (0.703425,-0.283141)    (2.6382e-14,2.41502e-14)   (2.6382e-14,-2.41502e-14)             (3.96441e-16,0)            (-0.000324607,0)            (-4.97533e-16,0)            (-7.11041e-05,0)            (-0.000123768,0)              (1.6913e-05,0)             (3.60273e-05,0)
            (1.54943e-17,0)             (8.28611e-16,0)             (-0.00086713,0)          (0.16552,0.629262)         (0.16552,-0.629262)  (-3.01817e-15,3.05511e-14) (-3.01817e-15,-3.05511e-14)             (4.83456e-16,0)               (0.0325881,0)            (-5.07443e-16,0)              (0.00720952,0)               (0.0123054,0)             (-0.00158759,0)             (-0.00357722,0)
           (-2.98266e-16,0)             (2.61567e-16,0)             (6.54566e-17,0)   (5.10385e-18,1.31239e-17)  (5.10385e-18,-1.31239e-17)   (1.41179e-17,1.54891e-17)  (1.41179e-17,-1.54891e-17)            (-7.29478e-18,0)               (-0.972803,0)             (2.80006e-17,0)               (-0.214963,0)                (-0.36776,0)               (0.0477828,0)                (0.106926,0)
           (-2.56463e-17,0)             (9.46698e-17,0)            (-1.65921e-16,0) (-1.33109e-17,-3.49903e-17)  (-1.33109e-17,3.49903e-17)  (9.22009e-18,-1.93598e-17)   (9.22009e-18,1.93598e-17)             (1.77478e-17,0)               (-0.216461,0)             (1.67065e-17,0)                (0.876738,0)                 (0.46246,0)               (0.0241371,0)                (0.163374,0)
           (-4.13324e-21,0)            (-2.95695e-16,0)            (-7.50811e-17,0)   (9.6077e-18,-3.99777e-17)    (9.6077e-18,3.99777e-17) (-1.42781e-16,-3.16717e-16)  (-1.42781e-16,3.16717e-16)            (-1.56503e-14,0)             (1.37333e-16,0)                       (1,0)            (-4.22998e-17,0)             (5.87836e-17,0)            (-8.11699e-17,0)            (-2.08649e-16,0)
           (-3.14361e-17,0)            (-6.49482e-15,0)               (-0.995097,0)    (-0.0252138,-0.00730383)     (-0.0252138,0.00730383) (-1.02315e-15,-7.64769e-16)  (-1.02315e-15,7.64769e-16)            (-2.56319e-17,0)             (-0.00578914,0)             (1.50689e-16,0)               (-0.032874,0)               (0.0510059,0)              (-0.0486743,0)              (-0.0169532,0)
            (4.88149e-29,0)            (-5.84353e-22,0)            (-2.05513e-22,0)   (2.00547e-19,2.85273e-19)  (2.00547e-19,-2.85273e-19)  (-1.62565e-18,1.11247e-17) (-1.62565e-18,-1.11247e-17)            (-1.92799e-17,0)               (0.0755262,0)             (7.63616e-17,0)                (0.428938,0)                (-0.66553,0)                (0.635103,0)                (0.221207,0)
            (9.36707e-05,0)            (-0.000883205,0)             (-0.00038941,0)       (0.0158738,-0.017297)        (0.0158738,0.017297)       (0.753266,-0.0522649)        (0.753266,0.0522649)             (0.000126433,0)             (3.13633e-08,0)             (3.22794e-16,0)             (1.78202e-07,0)            (-2.19018e-05,0)            (-5.88402e-05,0)            (-0.000310366,0)
             (0.00118903,0)               (0.0471192,0)              (0.00627645,0)      (0.0202991,0.00209397)     (0.0202991,-0.00209397)         (0.427304,0.497259)        (0.427304,-0.497259)             (0.000117475,0)              (4.3649e-07,0)            (-1.75945e-16,0)             (2.48008e-06,0)               (0.0021947,0)              (0.00601253,0)               (0.0315642,0)
            (6.07851e-48,0)            (-1.31944e-37,0)            (-8.82266e-38,0)   (-1.08817e-32,2.9289e-33)  (-1.08817e-32,-2.9289e-33) (-3.20755e-31,-1.72612e-31)  (-3.20755e-31,1.72612e-31)             (9.06655e-28,0)            (-1.62732e-13,0)            (-9.91879e-18,0)            (-9.24208e-13,0)              (-0.0656332,0)               (-0.179382,0)               (-0.942246,0)
                      (0,0)                       (0,0)                       (0,0)                       (0,0)                      (0,-0)                       (0,0)                      (0,-0)                       (0,0)                       (0,0)                       (0,0)                       (0,0)                (0.448204,0)                (0.747791,0)                (0.154337,0)
              (0.0034336,0)                (0.136946,0)               (0.0183663,0)   (0.000184161,3.99106e-05)  (0.000184161,-3.99106e-05)      (0.00102828,0.0011481)     (0.00102828,-0.0011481)               (-0.999368,0)             (1.26046e-06,0)             (1.99512e-15,0)             (7.16174e-06,0)            (-1.11124e-05,0)             (1.06042e-05,0)             (3.69386e-06,0)
              (-0.688461,0)                (0.717539,0)               (0.0707353,0)  (6.45348e-05,-5.61924e-05)   (6.45348e-05,5.61924e-05)  (0.000651704,-6.08847e-05)   (0.000651704,6.08847e-05)              (-0.0251711,0)             (3.88475e-05,0)             (1.51275e-17,0)             (0.000220726,0)            (-0.000342484,0)              (0.00032683,0)              (0.00011387,0)
               (0.725264,0)                (0.681294,0)               (0.0663405,0)  (6.00906e-05,-5.24344e-05)   (6.00906e-05,5.24344e-05)  (0.000648871,-5.84564e-05)   (0.000648871,5.84564e-05)              (-0.0251096,0)             (6.30228e-05,0)             (1.78547e-17,0)             (0.000358087,0)            (-0.000555619,0)             (0.000530212,0)             (0.000184693,0)
