model;variable;value;
NETWORK;Transformer_P1;-0.0404187834;
NETWORK;Transformer_P2;0.0405969837;
NETWORK;Transformer_Q1;-0.0051052439;
NETWORK;Transformer_Q2;0.0059370626;
Generator;generator_UPu;0.9999996389;
Generator;generator_PGen;7.0596972799;
Generator;generator_QGen;1.5937055394;
Generator;generator_PGenPu;0.0705969728;
Generator;generator_QGenPu;0.0159370554;
NETWORK;Transformer_i1;0.0410202212;
NETWORK;Transformer_i2;0.0410288315;
NETWORK;Transformer_iS1ToS2Side1;-1184.1517878953;
NETWORK;Transformer_iS2ToS1Side1;1184.1517878953;
NETWORK;Transformer_iS1ToS2Side2;-2368.8006924719;
NETWORK;Transformer_iS2ToS1Side2;2368.8006924719;
NETWORK;Transformer_iSide1;1184.1517878953;
NETWORK;Transformer_iSide2;2368.8006924719;
