time;BESS_BESS_HvMeasurements_PPu;BESS_BESS_HvMeasurements_QPu;BESS_BESS_HvMeasurements_UPu;BESS_BESS_LvMeasurements_PPu;BESS_BESS_LvMeasurements_QPu;BESS_BESS_LvMeasurements_UPu;BESS_BESS_injector_PInjPu;BESS_BESS_injector_PInjPuSn;BESS_BESS_injector_QInjPu;BESS_BESS_injector_QInjPuSn;BESS_BESS_injector_terminal_V_re;BESS_BESS_injector_terminal_i_re;BESS_BESS_injector_terminal_V_im;BESS_BESS_injector_terminal_i_im;BESS_BESS_injector_UPu;BESS_BESS_injector_idPu;BESS_BESS_injector_iqPu;BESS_BESS_pll_omegaPLLPu;BESS_BESS_reecC_idCmdPu;BESS_BESS_reecC_iqCmdPu;BESS_BESS_LvTfo_RPu;BESS_BESS_LvTfo_XPu;BESS_BESS_HvTfo_RPu;BESS_BESS_HvTfo_XPu;
0.0000000;0.5000000;-0.0000007;1.0000000;0.5000000;-0.0000004;1.0000000;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999958;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0000100;0.5000000;-0.0000007;1.0000000;0.5000000;-0.0000004;1.0000000;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999959;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0000200;0.5000000;-0.0000007;1.0000000;0.5000000;-0.0000004;1.0000000;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999959;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0000400;0.5000000;-0.0000007;1.0000000;0.5000000;-0.0000004;1.0000000;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999960;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0000800;0.5000000;-0.0000006;1.0000000;0.5000000;-0.0000004;1.0000000;0.0300001;0.5000025;0.0000001;0.0000021;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999961;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0001600;0.5000000;-0.0000006;1.0000000;0.5000000;-0.0000003;1.0000000;0.0300001;0.5000025;0.0000001;0.0000022;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999964;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0003200;0.5000000;-0.0000005;1.0000000;0.5000000;-0.0000003;1.0000000;0.0300001;0.5000025;0.0000001;0.0000022;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999969;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0006400;0.5000000;-0.0000004;1.0000000;0.5000000;-0.0000001;1.0000000;0.0300001;0.5000025;0.0000001;0.0000024;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999977;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0012800;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000001;1.0000000;0.0300001;0.5000025;0.0000002;0.0000026;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999988;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0025600;0.5000000;-0.0000000;1.0000000;0.5000000;0.0000002;1.0000000;0.0300001;0.5000025;0.0000002;0.0000027;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;0.9999999;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0051200;0.5000000;0.0000001;1.0000000;0.5000000;0.0000003;1.0000000;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;0.0000000;1.0000050;0.5000000;-0.0000002;1.0000004;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0102400;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000001;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0204800;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0409600;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.0819200;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.1638400;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.3276800;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300002;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
0.6553600;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
1.0000000;0.5000000;0.0000000;1.0000000;0.5000000;0.0000003;1.0000000;0.0300001;0.5000025;0.0000002;0.0000028;1.0000050;-0.0300000;0.0000056;-0.0000000;1.0000050;0.5000000;-0.0000002;1.0000000;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
1.0000000;0.2750000;0.0000003;0.5500000;0.2750000;0.0000006;0.5500000;0.0165002;0.2750025;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;0.5000000;-0.0000002;1.0000026;0.5000000;0.0000002;0.0000100;0.0000100;0.0000000;0.0000167;
1.0000000;0.2750000;0.0000003;0.5500000;0.2750000;0.0000006;0.5500000;0.0165002;0.2750025;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;0.5000000;-0.0000002;1.0000026;0.5000000;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
1.0000100;0.2750001;0.0000000;0.5500000;0.2750001;0.0000003;0.5500000;0.0165002;0.2750026;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;0.5000001;-0.0000003;1.0000008;0.5002249;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
1.0000200;0.2750002;0.0000000;0.5500000;0.2750002;0.0000003;0.5500000;0.0165002;0.2750027;0.0000002;0.0000028;0.5500050;-0.0300000;0.0000056;-0.0000000;0.5500050;0.5000004;-0.0000003;1.0000008;0.5004498;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
1.0000400;0.2750007;0.0000000;0.5500000;0.2750007;0.0000003;0.5500000;0.0165002;0.2750032;0.0000002;0.0000028;0.5500050;-0.0300001;0.0000056;-0.0000000;0.5500050;0.5000012;-0.0000003;1.0000009;0.5008996;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
1.0000600;0.2750014;0.0000000;0.5500000;0.2750014;0.0000003;0.5500000;0.0165002;0.2750039;0.0000002;0.0000028;0.5500050;-0.0300002;0.0000056;-0.0000000;0.5500050;0.5000026;-0.0000003;1.0000007;0.5013493;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
1.0001000;0.2750037;0.0000000;0.5500000;0.2750037;0.0000003;0.5500000;0.0165004;0.2750062;0.0000002;0.0000028;0.5500050;-0.0300004;0.0000056;-0.0000000;0.5500050;0.5000068;-0.0000003;1.0000007;0.5022486;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
1.0001400;0.2750072;0.0000000;0.5500000;0.2750072;0.0000003;0.5500000;0.0165006;0.2750097;0.0000002;0.0000028;0.5500050;-0.0300008;0.0000056;-0.0000000;0.5500050;0.5000131;-0.0000003;1.0000007;0.5031474;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
1.0002200;0.2750176;0.0000000;0.5500000;0.2750176;0.0000003;0.5500000;0.0165012;0.2750201;0.0000002;0.0000028;0.5500050;-0.0300019;0.0000056;-0.0000000;0.5500050;0.5000321;-0.0000003;1.0000007;0.5049441;0.0000003;0.0000100;0.0000100;0.0000000;0.0000167;
