time;WT4B_WT_controlMeasurements_PGenNomPu;WT4B_WT_controlMeasurements_QGenNomPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.025000;1.000073;-0.210091;1.000152;0.976161;0.217746;-0.930203;-0.422716;
0.075000;1.000017;-0.210102;1.000152;0.976164;0.217732;-0.930153;-0.422701;
0.175000;1.000002;-0.210094;1.000155;0.976169;0.217728;-0.930139;-0.422685;
0.375000;1.000000;-0.210078;1.000161;0.976174;0.217727;-0.930137;-0.422663;
0.775000;1.000000;-0.210050;1.000169;0.976183;0.217726;-0.930135;-0.422630;
1.575000;1.000000;-0.210022;1.000178;0.976193;0.217725;-0.930134;-0.422596;
2.000000;1.000000;-0.210018;1.000179;0.976194;0.217725;-0.930134;-0.422591;
2.000000;1.000000;-0.210018;1.000179;0.976194;0.217725;-0.930134;-0.422591;
2.000184;0.999999;-0.210018;1.000179;0.976194;0.217724;-0.930133;-0.422591;
2.000554;0.999981;-0.210022;1.000179;0.976195;0.217720;-0.930117;-0.422587;
2.001292;0.999810;-0.210061;1.000177;0.976202;0.217677;-0.929962;-0.422548;
2.002770;0.998445;-0.210344;1.000169;0.976270;0.217334;-0.928724;-0.422207;
2.004000;0.994497;-0.211007;1.000193;0.976515;0.216338;-0.925138;-0.421037;
2.004000;0.994498;-0.211006;1.000192;0.976516;0.216338;-0.925138;-0.421036;
2.004147;0.994208;-0.211057;1.000193;0.976533;0.216265;-0.924875;-0.420954;
2.004442;0.993575;-0.211169;1.000195;0.976570;0.216105;-0.924300;-0.420774;
2.004736;0.992886;-0.211290;1.000197;0.976611;0.215931;-0.923674;-0.420577;
2.005326;0.991293;-0.211561;1.000205;0.976707;0.215529;-0.922228;-0.420114;
2.005915;0.989494;-0.211859;1.000216;0.976819;0.215075;-0.920592;-0.419581;
2.006505;0.987499;-0.212176;1.000232;0.976946;0.214571;-0.918779;-0.418978;
2.007683;0.982830;-0.212848;1.000290;0.977265;0.213389;-0.914535;-0.417492;
2.008862;0.977584;-0.213520;1.000379;0.977645;0.212059;-0.909761;-0.415736;
2.011220;0.965430;-0.214701;1.000692;0.978631;0.208965;-0.898690;-0.411285;
2.013578;0.952117;-0.215629;1.001132;0.979800;0.205566;-0.886549;-0.406077;
2.018293;0.923359;-0.216611;1.002343;0.982553;0.198196;-0.860282;-0.393989;
2.023008;0.893978;-0.217002;1.003688;0.985414;0.190652;-0.833409;-0.381457;
2.032439;0.838352;-0.217231;1.006170;0.990592;0.176370;-0.782466;-0.358609;
2.041870;0.788160;-0.217451;1.008167;0.994821;0.163501;-0.736446;-0.339619;
2.051301;0.744188;-0.217751;1.009705;0.998162;0.152244;-0.696092;-0.324322;
2.060732;0.706349;-0.218073;1.010880;1.000776;0.142568;-0.661338;-0.312117;
2.070162;0.674154;-0.218351;1.011786;1.002828;0.134343;-0.631746;-0.302367;
2.079593;0.646939;-0.218563;1.012494;1.004448;0.127394;-0.606717;-0.294545;
2.089024;0.624023;-0.218717;1.013052;1.005734;0.121545;-0.585630;-0.288244;
2.098455;0.604769;-0.218824;1.013495;1.006762;0.116633;-0.567904;-0.283146;
2.107885;0.588610;-0.218898;1.013850;1.007588;0.112512;-0.553022;-0.279002;
2.117316;0.575054;-0.218945;1.014136;1.008256;0.109055;-0.540534;-0.275618;
2.126747;0.563681;-0.218973;1.014369;1.008799;0.106155;-0.530053;-0.272840;
2.145609;0.547201;-0.218977;1.014699;1.009564;0.101954;-0.514862;-0.268898;
2.164470;0.535206;-0.218947;1.014936;1.010106;0.098896;-0.503800;-0.266082;
2.183332;0.526415;-0.218891;1.015112;1.010500;0.096654;-0.495691;-0.264029;
2.202193;0.519918;-0.218815;1.015249;1.010794;0.094997;-0.489695;-0.262501;
2.221055;0.515069;-0.218725;1.015358;1.011020;0.093759;-0.485219;-0.261338;
2.258778;0.509164;-0.218494;1.015524;1.011326;0.092248;-0.479764;-0.259808;
2.296501;0.505531;-0.218245;1.015656;1.011543;0.091315;-0.476403;-0.258761;
2.334224;0.503321;-0.217972;1.015770;1.011709;0.090744;-0.474355;-0.257996;
2.409670;0.501580;-0.217373;1.015971;1.011952;0.090282;-0.472730;-0.256981;
2.485116;0.501017;-0.216771;1.016154;1.012150;0.090120;-0.472190;-0.256212;
2.636009;0.500881;-0.215628;1.016485;1.012488;0.090051;-0.472028;-0.254951;
2.786901;0.500863;-0.214588;1.016785;1.012793;0.090015;-0.471978;-0.253826;
3.088686;0.500834;-0.213096;1.017215;1.013229;0.089962;-0.471901;-0.252213;
3.692255;0.500802;-0.211500;1.017674;1.013695;0.089905;-0.471820;-0.250488;
4.899394;0.500759;-0.210456;1.017975;1.014001;0.089862;-0.471746;-0.249357;
5.999999;0.500725;-0.210145;1.018065;1.014093;0.089844;-0.471705;-0.249015;
5.999999;0.368734;-0.135384;0.736415;0.729829;0.098271;-0.471704;-0.249015;
