time;WPP4A_WPP_wPPControl_measurements_PGenNomPu;WPP4A_WPP_wPPControl_measurements_QGenNomPu;WPP4A_WPP_wPPControl_measurements_UPu;WPP4A_WPP_terminal_V_re;WPP4A_WPP_terminal_V_im;WPP4A_WPP_terminal_i_re;WPP4A_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.012858;1.000112;-0.210037;1.000167;0.976174;0.217754;-0.930238;-0.422670;
0.019046;1.000097;-0.210040;1.000167;0.976175;0.217750;-0.930223;-0.422667;
0.019046;1.000097;-0.210040;1.000167;0.976175;0.217750;-0.930223;-0.422667;
0.019046;1.000097;-0.210040;1.000167;0.976175;0.217750;-0.930223;-0.422667;
0.019046;1.000097;-0.210040;1.000167;0.976175;0.217750;-0.930223;-0.422667;
0.032059;1.000056;-0.210046;1.000167;0.976178;0.217740;-0.930187;-0.422654;
0.036511;1.000050;-0.210051;1.000166;0.976177;0.217738;-0.930181;-0.422656;
0.036511;1.000050;-0.210051;1.000166;0.976177;0.217738;-0.930181;-0.422656;
0.036511;1.000050;-0.210051;1.000166;0.976177;0.217738;-0.930181;-0.422656;
0.049721;1.000025;-0.210062;1.000164;0.976177;0.217733;-0.930159;-0.422657;
0.076141;1.000005;-0.210093;1.000156;0.976169;0.217728;-0.930141;-0.422684;
0.119064;0.999997;-0.210149;1.000138;0.976151;0.217728;-0.930135;-0.422748;
0.119064;0.999997;-0.210149;1.000138;0.976151;0.217728;-0.930135;-0.422748;
0.124468;0.999996;-0.210156;1.000136;0.976149;0.217728;-0.930135;-0.422756;
0.124468;0.999996;-0.210156;1.000136;0.976149;0.217728;-0.930135;-0.422756;
0.124468;0.999996;-0.210156;1.000136;0.976149;0.217728;-0.930135;-0.422756;
0.138635;0.999994;-0.210175;1.000131;0.976143;0.217728;-0.930133;-0.422777;
0.166970;0.999991;-0.210211;1.000120;0.976132;0.217729;-0.930132;-0.422819;
0.223640;0.999990;-0.210272;1.000101;0.976112;0.217730;-0.930133;-0.422892;
0.336980;0.999992;-0.210362;1.000073;0.976083;0.217733;-0.930137;-0.423000;
0.563660;0.999996;-0.210463;1.000041;0.976049;0.217738;-0.930143;-0.423124;
0.773304;0.999997;-0.210500;1.000030;0.976037;0.217739;-0.930146;-0.423169;
0.773304;0.999997;-0.210500;1.000030;0.976037;0.217739;-0.930146;-0.423169;
0.794386;0.999998;-0.210506;1.000028;0.976035;0.217740;-0.930146;-0.423177;
0.836549;0.999998;-0.210517;1.000024;0.976032;0.217740;-0.930147;-0.423190;
0.839479;0.999998;-0.210518;1.000024;0.976031;0.217740;-0.930147;-0.423191;
0.839479;0.999998;-0.210518;1.000024;0.976031;0.217740;-0.930147;-0.423191;
0.861265;0.999998;-0.210523;1.000022;0.976030;0.217740;-0.930147;-0.423198;
0.904838;0.999998;-0.210532;1.000019;0.976027;0.217741;-0.930147;-0.423209;
0.991983;0.999999;-0.210546;1.000015;0.976022;0.217741;-0.930148;-0.423226;
1.113057;0.999999;-0.210559;1.000011;0.976018;0.217742;-0.930149;-0.423241;
1.113057;0.999999;-0.210559;1.000011;0.976018;0.217742;-0.930149;-0.423241;
1.113057;0.999999;-0.210559;1.000011;0.976018;0.217742;-0.930149;-0.423241;
1.113057;0.999999;-0.210559;1.000011;0.976018;0.217742;-0.930149;-0.423241;
1.136944;0.999999;-0.210561;1.000010;0.976017;0.217742;-0.930149;-0.423244;
1.145019;0.999999;-0.210562;1.000010;0.976017;0.217742;-0.930149;-0.423245;
1.145019;0.999999;-0.210562;1.000010;0.976017;0.217742;-0.930149;-0.423245;
1.145019;0.999999;-0.210562;1.000010;0.976017;0.217742;-0.930149;-0.423245;
1.168874;0.999999;-0.210565;1.000009;0.976016;0.217742;-0.930149;-0.423248;
1.216584;0.999999;-0.210569;1.000008;0.976015;0.217742;-0.930150;-0.423253;
1.312004;1.000000;-0.210575;1.000006;0.976012;0.217742;-0.930150;-0.423261;
1.502844;1.000000;-0.210583;1.000004;0.976010;0.217742;-0.930150;-0.423270;
1.884523;1.000000;-0.210589;1.000002;0.976008;0.217743;-0.930151;-0.423278;
2.000000;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423279;
2.000000;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423279;
2.000000;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423279;
2.000000;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423279;
2.000425;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423279;
2.001081;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930150;-0.423279;
2.001081;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930150;-0.423279;
2.001081;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930150;-0.423279;
2.001256;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930150;-0.423279;
2.001256;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930150;-0.423279;
2.001256;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930150;-0.423279;
