time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____1_SM_generator_UStatorPu;GEN____1_SM_voltageRegulator_EfdPu;GEN____2_SM_generator_omegaPu;GEN____2_SM_generator_PGen;GEN____2_SM_generator_QGen;GEN____2_SM_generator_UStatorPu;GEN____2_SM_voltageRegulator_EfdPu;GEN____3_SM_generator_omegaPu;GEN____3_SM_generator_PGen;GEN____3_SM_generator_QGen;GEN____3_SM_generator_UStatorPu;GEN____3_SM_voltageRegulator_EfdPu;GEN____6_SM_generator_omegaPu;GEN____6_SM_generator_PGen;GEN____6_SM_generator_QGen;GEN____6_SM_generator_UStatorPu;GEN____6_SM_voltageRegulator_EfdPu;GEN____8_SM_generator_omegaPu;GEN____8_SM_generator_PGen;GEN____8_SM_generator_QGen;GEN____8_SM_generator_UStatorPu;GEN____8_SM_voltageRegulator_EfdPu;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;
0.000000;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376014;-16.616617;1.058879;1.112628;1.000000;40.097085;43.619662;1.048783;1.148505;1.000000;-0.084378;25.059892;1.011507;1.053730;1.000000;0.002651;12.801116;1.070159;1.184413;1.000000;-0.006171;17.567203;1.096377;1.194174;0.216993;0.126993;
0.000001;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376014;-16.616617;1.058879;1.112628;1.000000;40.097085;43.619662;1.048783;1.148505;1.000000;-0.084378;25.059892;1.011507;1.053730;1.000000;0.002652;12.801117;1.070159;1.184413;1.000000;-0.006171;17.567203;1.096377;1.194174;0.216993;0.126993;
0.000002;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376014;-16.616617;1.058879;1.112628;1.000000;40.097085;43.619662;1.048783;1.148505;1.000000;-0.084378;25.059892;1.011507;1.053730;1.000000;0.002652;12.801116;1.070159;1.184413;1.000000;-0.006171;17.567203;1.096377;1.194174;0.216993;0.126993;
0.000004;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376015;-16.616617;1.058879;1.112628;1.000000;40.097084;43.619662;1.048783;1.148505;1.000000;-0.084378;25.059892;1.011507;1.053730;1.000000;0.002652;12.801116;1.070159;1.184413;1.000000;-0.006171;17.567203;1.096377;1.194174;0.216993;0.126993;
0.000008;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376015;-16.616616;1.058879;1.112628;1.000000;40.097083;43.619662;1.048783;1.148505;1.000000;-0.084377;25.059892;1.011507;1.053730;1.000000;0.002651;12.801115;1.070159;1.184413;1.000000;-0.006171;17.567203;1.096377;1.194174;0.216993;0.126993;
0.000016;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376017;-16.616614;1.058879;1.112628;1.000000;40.097080;43.619662;1.048783;1.148505;1.000000;-0.084375;25.059892;1.011507;1.053730;1.000000;0.002651;12.801112;1.070159;1.184414;1.000000;-0.006171;17.567204;1.096377;1.194174;0.216993;0.126993;
0.000032;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376019;-16.616611;1.058879;1.112628;1.000000;40.097074;43.619661;1.048783;1.148505;1.000000;-0.084373;25.059893;1.011507;1.053730;1.000000;0.002650;12.801107;1.070159;1.184414;1.000000;-0.006171;17.567205;1.096377;1.194174;0.216993;0.126993;
0.000064;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376024;-16.616605;1.058879;1.112628;1.000000;40.097063;43.619660;1.048783;1.148505;1.000000;-0.084367;25.059895;1.011507;1.053730;1.000000;0.002648;12.801097;1.070159;1.184414;1.000000;-0.006170;17.567207;1.096377;1.194174;0.216993;0.126993;
0.000128;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376035;-16.616592;1.058879;1.112628;1.000000;40.097040;43.619658;1.048783;1.148505;1.000000;-0.084356;25.059898;1.011507;1.053730;1.000000;0.002643;12.801077;1.070159;1.184415;1.000000;-0.006169;17.567210;1.096377;1.194174;0.216993;0.126993;
0.000256;1.060019;1.045051;1.010003;1.017715;1.019568;1.070159;1.061538;1.089929;1.055991;1.051061;1.057023;1.055343;1.050534;1.035666;1.000000;232.376055;-16.616567;1.058879;1.112628;1.000000;40.096994;43.619655;1.048783;1.148505;1.000000;-0.084333;25.059905;1.011507;1.053730;1.000000;0.002635;12.801037;1.070159;1.184416;1.000000;-0.006168;17.567217;1.096377;1.194174;0.216993;0.126993;
