time;PhaseShifter_5_6_phaseShifter_iMonitored;PhaseShifter_5_7_phaseShifter_iMonitored;
0.000000;0.270110;0.270110;
10.000000;0.270110;0.270110;
20.000000;0.270110;0.270110;
30.000000;0.270110;0.270110;
30.000000;0.300168;0.300168;
40.000000;0.300168;0.300168;
50.000000;0.300168;0.300168;
60.000000;0.300168;0.300168;
70.000000;0.300168;0.300168;
70.000000;0.292904;0.285635;
80.000000;0.292902;0.285634;
90.000000;0.292902;0.285634;
90.000000;0.285641;0.271103;
100.000000;0.285636;0.271100;
110.000000;0.285636;0.271100;
110.000000;0.256567;0.285646;
120.000000;0.256567;0.285638;
130.000000;0.256567;0.285638;
140.000000;0.256567;0.285638;
150.000000;0.256567;0.285638;
160.000000;0.256567;0.285638;
170.000000;0.256567;0.285638;
180.000000;0.256567;0.285638;
190.000000;0.256567;0.285638;
200.000000;0.256567;0.285638;
210.000000;0.256567;0.285638;
220.000000;0.256567;0.285638;
230.000000;0.256567;0.285638;
240.000000;0.256567;0.285638;
250.000000;0.256567;0.285638;
260.000000;0.256567;0.285638;
270.000000;0.256567;0.285638;
280.000000;0.256567;0.285638;
290.000000;0.256567;0.285638;
300.000000;0.256567;0.285638;
