time;Test_svarc_UPu;Test_svarc_URegulatedPu;Test_svarc_BPu;Test_svarc_QInjPu;Test_svarc_modeHandling_mode;Test_svarc_modeHandling_URefPu;Test_load_UPu_value;
0.000000;1.000226;0.999409;0.059051;0.059079;3.000000;1.000000;0.999409;
10.000000;1.000226;0.999409;0.059051;0.059079;3.000000;1.000000;0.999409;
10.000000;1.025723;1.012167;0.955866;1.005618;3.000000;1.022222;1.012167;
20.000000;1.025722;1.012166;0.955793;1.005595;3.000000;1.022222;1.012166;
30.000000;1.025722;1.012166;0.955793;1.005595;3.000000;1.022222;1.012166;
