time;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;
0.0000000000;0.7000003024;0.2795001120;
0.0000000000;0.7000003024;0.2795001120;
0.0000100000;0.7000002808;0.2795001121;
0.0000200000;0.7000002808;0.2795001120;
0.0000400000;0.7000002716;0.2795001119;
0.0000800000;0.7000002808;0.2795001116;
0.0001600000;0.7000002807;0.2795001112;
0.0003200000;0.7000002806;0.2795001102;
0.0006400000;0.7000002803;0.2795001082;
0.0012800000;0.7000002794;0.2795001040;
0.0025600000;0.7000002766;0.2795000952;
0.0051200000;0.7000002684;0.2795000770;
0.0102400000;0.7000002459;0.2795000420;
0.0204800000;0.7000001963;0.2794999855;
0.0409600000;0.7000001197;0.2794999246;
0.0819200000;0.7000000455;0.2794998883;
0.1638400000;0.7000000019;0.2794998787;
0.3276800000;0.6999999872;0.2794998832;
0.6553600000;0.6999999890;0.2794998503;
1.0000000000;0.6999999928;0.2794998690;
1.0000000000;0.3584052004;0.1431060108;
1.0000078659;0.3584078213;0.1431205707;
1.0000078659;0.3584078213;0.1431205707;
1.0000178659;0.3584111951;0.1431391298;
1.0000278659;0.3584146219;0.1431577512;
1.0000478659;0.3584216044;0.1431951452;
1.0000878659;0.3584361878;0.1432706581;
1.0001678659;0.3584678567;0.1434246092;
1.0003278659;0.3585412347;0.1437441938;
1.0006478659;0.3587276566;0.1444290811;
1.0008081378;0.3588403781;0.1447939674;
1.0008081378;0.3588403781;0.1447939674;
1.0008181378;0.3588478890;0.1448173158;
1.0008281378;0.3588554600;0.1448407202;
1.0008481378;0.3588707206;0.1448876688;
1.0008881378;0.3589018426;0.1449822309;
1.0009681378;0.3589664595;0.1451740460;
1.0011281378;0.3591052469;0.1455684155;
1.0014481378;0.3594205616;0.1463991619;
1.0020881378;0.3601981154;0.1482209880;
1.0033681378;0.3623093743;0.1524476368;
1.0046481378;0.3651232751;0.1573822822;
1.0059281378;0.3685863828;0.1629328737;
1.0062658199;0.3695993493;0.1644848440;
1.0062658199;0.3695987117;0.1644852388;
1.0062758198;0.3696295848;0.1645322263;
1.0062758198;0.3696295848;0.1645322263;
1.0062858198;0.3696605131;0.1645793516;
1.0062958198;0.3696914955;0.1646266131;
1.0063158198;0.3697535921;0.1647214674;
1.0063558198;0.3698784161;0.1649127608;
1.0064358198;0.3701306133;0.1653017447;
1.0065958198;0.3706452177;0.1661052665;
1.0069158198;0.3717146262;0.1678123839;
1.0075558198;0.3740088942;0.1716095252;
1.0088358198;0.3791775869;0.1806036569;
1.0101158198;0.3850708967;0.1913134799;
1.0113958198;0.3916198378;0.2035355795;
1.0125433410;0.3979893237;0.2156111438;
1.0125433410;0.3979870562;0.2156115698;
1.0125440231;0.3979909898;0.2156190832;
1.0125440231;0.3979909898;0.2156190832;
1.0125446207;0.3979944361;0.2156256657;
1.0125446207;0.3979944361;0.2156256657;
1.0125546207;0.3980521032;0.2157357949;
1.0125646207;0.3981098003;0.2158459693;
1.0125846207;0.3982252575;0.2160664096;
1.0126246207;0.3984564763;0.2165077164;
1.0127046207;0.3989201278;0.2173920212;
1.0128646207;0.3998522637;0.2191672657;
1.0131846207;0.4017353317;0.2227428601;
1.0138246207;0.4055724181;0.2299833862;
1.0147585327;0.4113219318;0.2407132975;
1.0147585327;0.4113219318;0.2407132975;
1.0147685327;0.4113843072;0.2408297203;
1.0147785327;0.4114468219;0.2409459795;
1.0147985327;0.4115717280;0.2411785419;
1.0148385327;0.4118208091;0.2416439471;
1.0149185327;0.4123162098;0.2425757038;
1.0150785327;0.4132957143;0.2444429692;
1.0153985327;0.4152093739;0.2481913581;
1.0160385327;0.4188543411;0.2557347126;
1.0173185327;0.4254110878;0.2709424774;
1.0185985327;0.4309847766;0.2862340314;
1.0211585327;0.4392321645;0.3165645993;
1.0234625327;0.4434042012;0.3432446536;
1.0249586215;0.4445576804;0.3600242818;
1.0249586215;0.4445576804;0.3600242818;
1.0249686215;0.4445676221;0.3601391527;
1.0249786215;0.4445707155;0.3602502913;
1.0249986215;0.4445763620;0.3604722887;
1.0250386215;0.4445882824;0.3609166720;
1.0251186215;0.4446088105;0.3618038097;
1.0252786215;0.4446398829;0.3635732644;
1.0255986215;0.4446624710;0.3670925185;
1.0262386215;0.4445526629;0.3740496873;
1.0275186215;0.4437410389;0.3876202919;
1.0300786215;0.4399868347;0.4132794883;
1.0307204068;0.4386519642;0.4193830732;
1.0307204068;0.4386543807;0.4193874021;
1.0307304067;0.4386313955;0.4194816856;
1.0307304067;0.4386313955;0.4194816856;
1.0307404067;0.4386084204;0.4195758932;
1.0307504067;0.4385854137;0.4196700994;
1.0307704067;0.4385393220;0.4198585114;
1.0308104067;0.4384467687;0.4202353195;
1.0308904067;0.4382601601;0.4209888596;
1.0310504067;0.4378808620;0.4224955642;
1.0313704067;0.4370977681;0.4255070118;
1.0320104067;0.4354325382;0.4315185575;
1.0332904067;0.4317001661;0.4434703223;
1.0358504067;0.4226116456;0.4669103860;
1.0384104067;0.4118341058;0.4894884471;
1.0409704067;0.4001606079;0.5109263169;
1.0423210691;0.3937833805;0.5217214015;
1.0423210691;0.3938010857;0.5217575120;
1.0423310672;0.3937530036;0.5218361368;
1.0423310672;0.3937530036;0.5218361368;
1.0423410672;0.3937049540;0.5219147589;
1.0423510672;0.3936568958;0.5219933463;
1.0423710672;0.3935607560;0.5221504386;
1.0424110672;0.3933683740;0.5224642189;
1.0424910672;0.3929831976;0.5230901400;
1.0426510672;0.3922111954;0.5243353820;
1.0429710672;0.3906606627;0.5267996713;
1.0436110672;0.3875340543;0.5316253324;
1.0448910672;0.3811831008;0.5408798982;
1.0474510672;0.3681228899;0.5579139229;
1.0500110672;0.3546330544;0.5731037640;
1.0525710672;0.3407679836;0.5866243101;
1.0551310672;0.3265753656;0.5986453933;
1.0576910672;0.3120980727;0.6093249748;
1.0602510672;0.2973732189;0.6188070755;
1.0628110672;0.2824330193;0.6272217191;
1.0679310672;0.2520204391;0.6414411508;
1.0725390672;0.2241568988;0.6516057332;
1.0738435950;0.2162039847;0.6541225279;
1.0738435950;0.2162001785;0.6541221182;
1.0738535947;0.2161392212;0.6541403436;
1.0738535947;0.2161392212;0.6541403436;
1.0738635947;0.2160780858;0.6541584658;
1.0738735947;0.2160169484;0.6541765742;
1.0738935947;0.2158946686;0.6542127573;
1.0739335947;0.2156500868;0.6542849623;
1.0740135947;0.2151608343;0.6544287200;
1.0741735947;0.2141819742;0.6547136134;
1.0744935947;0.2122228528;0.6552730054;
1.0751335947;0.2082991536;0.6563510344;
1.0764135947;0.2004310956;0.6583507338;
1.0776935947;0.1925374055;0.6601503352;
1.0802535947;0.1771396083;0.6632026657;
1.0828135947;0.1637977858;0.6655335613;
1.0851175947;0.1539403948;0.6671577483;
1.0874215947;0.1461013123;0.6683299796;
1.0897255947;0.1401034910;0.6691408102;
1.0920295947;0.1357219377;0.6696496421;
1.0943335947;0.1327268544;0.6699083628;
1.0966375947;0.1309012102;0.6699631551;
1.0989415947;0.1300473768;0.6698544220;
1.1012455947;0.1299891529;0.6696172752;
1.1035495947;0.1305582886;0.6692942804;
1.1058535947;0.1316333821;0.6688864458;
1.1104615947;0.1347546387;0.6679516042;
1.1150695947;0.1387419893;0.6669490230;
1.1196775947;0.1430995763;0.6659579454;
1.1242855947;0.1474680072;0.6650416508;
1.1288935947;0.1516044098;0.6642341994;
1.1335015947;0.1553595121;0.6635516738;
1.1381095947;0.1586547027;0.6629965464;
1.1389255461;0.1591874223;0.6629109944;
1.1389255461;0.1591876102;0.6629131208;
1.1389355461;0.1591940387;0.6629120319;
1.1389455461;0.1592004827;0.6629110104;
1.1389655461;0.1592133662;0.6629089727;
1.1390055461;0.1592391011;0.6629048920;
1.1390855461;0.1592904577;0.6628967665;
1.1392455461;0.1593927044;0.6628806272;
1.1395655461;0.1595953334;0.6628487928;
1.1402055461;0.1599931556;0.6627868814;
1.1414855461;0.1607593226;0.6626699112;
1.1440455461;0.1621765783;0.6624619034;
1.1491655461;0.1645811221;0.6621373992;
1.1542855461;0.1664585446;0.6619193122;
1.1594055461;0.1678774764;0.6617863799;
1.1645255461;0.1689111525;0.6617182931;
1.1696455461;0.1696316840;0.6616971622;
1.1798855461;0.1704595646;0.6617255622;
1.1901255461;0.1707133667;0.6618063467;
1.2003655461;0.1706711332;0.6618939680;
1.2106055461;0.1705174560;0.6619655607;
1.2208455461;0.1703558628;0.6620139973;
1.2310855461;0.1702318968;0.6620410611;
1.2515655461;0.1701099945;0.6620596376;
1.2720455461;0.1700944525;0.6620536089;
1.2832951201;0.1701035185;0.6620485070;
1.2832951201;0.1701035185;0.6620485070;
1.2833051201;0.1701035438;0.6620485027;
1.2833151201;0.1701035687;0.6620484945;
1.2833351201;0.1701036186;0.6620484797;
1.2833751201;0.1701037181;0.6620484453;
1.2834551201;0.1701039172;0.6620483799;
1.2836151201;0.1701043149;0.6620482497;
1.2839351201;0.1701051088;0.6620479919;
1.2845751201;0.1701066889;0.6620474864;
1.2858551201;0.1701098114;0.6620465154;
1.2884151201;0.1701158598;0.6620447304;
1.2935351201;0.1701269265;0.6620417493;
1.2986551201;0.1701364357;0.6620394902;
1.3088951201;0.1701505859;0.6620366082;
1.3181111201;0.1701583183;0.6620354757;
1.3273271201;0.1701623333;0.6620351993;
1.3365431201;0.1701638337;0.6620353688;
1.3457591201;0.1701637966;0.6620357257;
1.3641911201;0.1701624279;0.6620363608;
1.3826231201;0.1701607441;0.6620367633;
1.4010551201;0.1701597235;0.6620369072;
1.4194871201;0.1701593924;0.6620368968;
1.4563511201;0.1701594400;0.6620368176;
1.4932151201;0.1701597125;0.6620367571;
1.5300791201;0.1701598316;0.6620367468;
1.5669431201;0.1701598312;0.6620367560;
1.6038071201;0.1701598046;0.6620367633;
1.6406711201;0.1701597910;0.6620367650;
1.7143991201;0.1701597886;0.6620367645;
1.7881271201;0.1701597928;0.6620367634;
1.8618551201;0.1701597942;0.6620367633;
1.9135719908;0.1701597943;0.6620367633;
1.9135719908;0.1701597943;0.6620367633;
1.9135819908;0.1701597943;0.6620367633;
1.9135919908;0.1701597943;0.6620367633;
1.9136119908;0.1701597943;0.6620367633;
1.9136519908;0.1701597943;0.6620367633;
1.9137319908;0.1701597943;0.6620367633;
1.9138919908;0.1701597943;0.6620367633;
1.9142119908;0.1701597942;0.6620367633;
1.9148519908;0.1701597942;0.6620367633;
1.9161319908;0.1701597942;0.6620367633;
1.9186919908;0.1701597942;0.6620367633;
1.9238119908;0.1701597941;0.6620367634;
1.9340519908;0.1701597940;0.6620367634;
1.9545319908;0.1701597939;0.6620367634;
1.9954919908;0.1701597939;0.6620367634;
2.0000000000;0.1701597939;0.6620367634;
2.0000000000;0.3010584808;1.1713195870;
2.0000100000;0.3010514116;1.1712933058;
2.0000200000;0.3010513872;1.1712923275;
2.0000400000;0.3010517490;1.1712908040;
2.0000800000;0.3010511177;1.1712772586;
2.0001600000;0.3010509167;1.1712303724;
2.0003200000;0.3010547196;1.1710447331;
2.0006400000;0.3011050189;1.1703137742;
2.0012800000;0.3015530238;1.1674753597;
2.0019200000;0.3026399966;1.1628835359;
2.0025600000;0.3045507447;1.1566506026;
2.0032000000;0.3074035692;1.1488897034;
2.0042716629;0.3144501412;1.1328951303;
2.0042716629;0.3144501412;1.1328951303;
2.0042816629;0.3145302064;1.1327279439;
2.0042916629;0.3146093591;1.1325594154;
2.0043116629;0.3147681792;1.1322215934;
2.0043516629;0.3150889913;1.1315426018;
2.0044316629;0.3157422875;1.1301704160;
2.0045916629;0.3170963837;1.1273698952;
2.0049116629;0.3199919009;1.1215505595;
2.0055516629;0.3262621111;1.1090897554;
2.0061916629;0.3327381605;1.0955997296;
2.0068316629;0.3392478937;1.0811714757;
2.0081116629;0.3521418992;1.0499402657;
2.0093916629;0.3648686454;1.0159685371;
2.0106716629;0.3774104198;0.9798251245;
2.0119516629;0.3897690588;0.9420366437;
2.0128134821;0.3979907779;0.9159317074;
2.0128134821;0.3979936713;0.9159319209;
2.0128234821;0.3980885623;0.9156250030;
2.0128334821;0.3981834458;0.9153180354;
2.0128534821;0.3983731823;0.9147039859;
2.0128934821;0.3987525361;0.9134753038;
2.0129734821;0.3995107485;0.9110155990;
2.0131334821;0.4010252097;0.9060871022;
2.0134534821;0.4040463702;0.8961968399;
2.0140934821;0.4100584042;0.8763073155;
2.0144153027;0.4130670235;0.8662730747;
2.0144153027;0.4130670965;0.8662730694;
2.0144253027;0.4131604061;0.8659603667;
2.0144353027;0.4132537117;0.8656477735;
2.0144553027;0.4134403097;0.8650228565;
2.0144953027;0.4138134630;0.8637743190;
2.0145753027;0.4145595994;0.8612824328;
2.0147353027;0.4160512057;0.8563195813;
2.0150553027;0.4190317986;0.8464773577;
2.0156953027;0.4249828578;0.8271248602;
2.0169753027;0.4368471188;0.7897287813;
2.0182553027;0.4486659222;0.7540427834;
2.0185076703;0.4509914550;0.7472043122;
2.0185076703;0.4509914550;0.7472043122;
2.0185176703;0.4510833533;0.7469347382;
2.0185276703;0.4511754652;0.7466652917;
2.0185476703;0.4513596923;0.7461266470;
2.0185876703;0.4517280780;0.7450505488;
2.0186676703;0.4524647610;0.7429031397;
2.0188276703;0.4539376816;0.7386276005;
