time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;SynchronousGenerator_pss_UpssPu;
0.100002;0.408747;2.512899;0.132395;5.237688;0.999998;-0.000025;
0.100002;0.408746;2.513061;0.132395;5.237678;0.999999;-0.000020;
0.100003;0.408746;2.513224;0.132395;5.237667;0.999999;-0.000015;
0.100003;0.408745;2.513386;0.132395;5.237656;0.999999;-0.000009;
0.100003;0.408745;2.513548;0.132394;5.237645;0.999999;-0.000003;
0.100003;0.408745;2.513710;0.132394;5.237634;0.999999;0.000003;
0.100004;0.408744;2.513872;0.132394;5.237624;0.999999;0.000010;
0.100004;0.408744;2.514034;0.132394;5.237613;0.999999;0.000017;
0.100004;0.408743;2.514197;0.132393;5.237602;0.999999;0.000025;
0.100004;0.408743;2.514359;0.132393;5.237591;0.999999;0.000032;
0.100004;0.408742;2.514521;0.132393;5.237581;0.999999;0.000040;
0.100005;0.408742;2.514683;0.132393;5.237570;0.999999;0.000049;
0.100005;0.408742;2.514845;0.132393;5.237559;0.999999;0.000058;
0.100005;0.408741;2.515007;0.132392;5.237548;0.999999;0.000067;
0.100005;0.408741;2.515170;0.132392;5.237537;0.999999;0.000076;
0.100006;0.408740;2.515332;0.132392;5.237527;0.999999;0.000086;
0.100006;0.408740;2.515494;0.132392;5.237516;0.999999;0.000096;
0.100006;0.408740;2.515656;0.132391;5.237505;0.999999;0.000106;
0.100006;0.408739;2.515818;0.132391;5.237494;0.999999;0.000116;
0.100007;0.408739;2.515981;0.132391;5.237483;0.999999;0.000127;
0.100007;0.408738;2.516143;0.132391;5.237473;0.999999;0.000138;
0.100007;0.408738;2.516305;0.132391;5.237462;0.999999;0.000149;
0.100007;0.408737;2.516467;0.132390;5.237451;0.999999;0.000161;
0.100007;0.408737;2.516629;0.132390;5.237440;0.999999;0.000173;
